Cell_Length,Counts
1,339
2,131
3,51
4,63
5,31
6,29
7,19
8,12
9,20
10,6
11,6
12,7
13,6
14,5
15,4
16,3
17,3
19,1
20,2
23,1
27,1
28,1
39,1
