Cell_Length,Counts
1,255
2,119
3,60
4,51
5,36
6,30
7,18
8,14
9,18
10,12
11,8
12,5
13,7
14,5
15,3
16,5
17,3
19,2
20,2
23,1
27,1
28,1
39,1
