Cell_Length,Counts
1,544
2,247
3,116
4,72
5,57
6,40
7,29
8,21
9,24
10,17
11,17
12,7
13,9
14,4
15,3
16,2
17,2
18,1
19,1
20,2
21,2
23,1
24,1
30,1
