Latitude,Longitude,fileName,day,time
25.230607,121.87607600000001,20210530-085607,20210530,085607
25.274057,121.88235500000002,20210530-090207,20210530,090207
25.317507,121.88863400000002,20210530-090807,20210530,090807
25.360957,121.89491300000003,20210530-091407,20210530,091407
25.404407,121.90119200000004,20210530-092007,20210530,092007
