3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
68.171059,20210530-075555,20210530,075555,11.798686,0.0,3.0,0.0,1.0,33.0,80.180634,1.362498,27.0,23.731001,4.201101,4.201101,73.260056,1.0,0.0,1.283078,0.0,-99900.0,0.0,0.0,0.0,4.201101,2.215389,1.362498,25.17911,122.449158,66.824379,11.313256,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.184555,1.0,27.0,0.0,0.0,265.652222,-99900.0,0.0,-99900.0,1.581981,1.581981,-99900.0
72.723442,20210530-080157,20210530,080157,11.874316,0.0,9.0,0.0,2.0,39.0,80.726364,0.973803,27.0,18.594812,4.291687,4.291687,67.727951,1.0,0.0,1.823368,0.0,-99900.0,0.857053,0.0,0.0,4.291687,1.999238,1.527086,25.17979,122.494377,71.580894,11.579419,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,73.686493,1.0,27.0,1.0,0.0,269.048218,12.577457,0.0,0.012576,2.145893,2.145893,0.000209
